,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km
0,Tesla ,Model 3 Long Range Dual Motor,4.6,233,450
1,Volkswagen ,ID.3 Pure,10.0,160,270
2,Polestar ,2,,210,400
3,BMW ,iX3 ,6.8,,360
4,Honda ,e ,9.5,145,170
5,Lucid ,Air ,2.8,250,610
6,Volkswagen ,e-Golf ,9.6,150,190
7,Peugeot ,e-208 ,8.1,150,275
8,Tesla ,Model 3 Standard Range Plus,5.6,225,310
9,Audi ,Q4 e-tron ,6.3,180,400
10,Mercedes ,EQC 400 4MATIC,5.1,180,370
11,Nissan ,Leaf ,7.9,144,220
12,Hyundai ,Kona Electric 64 kWh,7.9,167,400
13,BMW ,i4 ,4.0,200,450
14,Hyundai ,IONIQ Electric,9.7,165,250
15,Volkswagen ,ID.3 Pro S,7.9,160,440
16,Porsche ,Taycan Turbo S,2.8,260,375
17,Volkswagen ,e-Up! ,11.9,130,195
18,MG ,ZS EV,8.2,140,220
19,Mini ,Cooper SE ,7.3,150,185
