name,height_in,weight_lb,sport
Moeko Nagaoka,72,165,basketball
Maki Takada,72,168,basketball
Naho Miyoshi,65,141,basketball
Rui Machida,64,126,basketball
Nako Motohashi,65,121,basketball
Nanako Todo,69,139,basketball
Saki Hayashi,68,148,basketball
Evelyn Mawuli,71,174,basketball
Saori Miyazaki,66,123,basketball
Yuki Miyazawa,72,161,basketball
Himawari Akaho,72,167,basketball
Monica Okoye,71,159,basketball
Jewell Loyd,70,148,basketball
Skylar Diggins-Smith,69,145,basketball
Sue Bird,69,150,basketball
Ariel Atkins,68,167,basketball
Chelsea Gray,71,170,basketball
A'ja Wilson,76,185,basketball
Breanna Stewart,76,170,basketball
Napheesa Collier,73,181,basketball
Diana Taurasi,72,163,basketball
Sylvia Fowles,78,217,basketball
Tina Charles,76,192,basketball
Brittney Griner,81,205,basketball
Marine Fauthoux,69,154,basketball
Endéné Miyem,75,203,basketball
Alexia Chartereau,75,174,basketball
Sandrine Gruda,76,185,basketball
Héléna Ciak,78,190,basketball
Sarah Michel,71,159,basketball
Valériane Vukosavljević,72,152,basketball
Iliana Rupert,76,189,basketball
Gabby Williams,71,172,basketball
Marine Johannès,70,134,basketball
Alix Duchet,66,121,basketball
Diandra Tchatchouang,74,165,basketball
Cristina Ouviña,68,154,basketball
Silvia Domínguez,65,141,basketball
Alba Torrens,75,176,basketball
Laia Palau,70,152,basketball
Maite Cazorla,70,155,basketball
Tamara Abalde,75,159,basketball
Raquel Carrera,75,160,basketball
Queralt Casas,71,142,basketball
María Conde,73,152,basketball
Laura Gil,75,172,basketball
Astou Ndour-Fall,77,150,basketball
Sami Whitcomb,70,145,basketball
Kristy Wallace,71,157,basketball
Patrícia Teixeira,70,141,basketball
Simone Biles,56,104,gymnastics
Sunisa Lee,60,121,gymnastics
Jordan Chiles,65,121,gymnastics
Grace McCallum,60,104,gymnastics
MyKayla Skinner,60,104,gymnastics
Kayla DiCello,65,121,gymnastics
Kara Eaker,60,112,gymnastics
Leanne Wong,61,91,gymnastics
Emma Malabuyo,60,121,gymnastics
Shilese Jones,63,105,gymnastics
Svetlana Khorkina,65,104,gymnastics
Gina Gogean,59,88,gymnastics
Lilia Akhaimova,61,110,gymnastics
Viktoria Listunova,56,88,gymnastics
Angelina Melnikova,60,97,gymnastics
Vladislava Urazova,62,101,gymnastics
Rebeca Andrade,59,99,gymnastics
Nina Derwael,67,101,gymnastics
Jade Carey,62,120,gymnastics
Simona Dyankova,66,126,gymnastics
Vanessa Ferrari,57,97,gymnastics
Jennifer Gadirova,61,121,gymnastics
Jessica Gadirova,61,99,gymnastics
Alice Kinsella,62,110,gymnastics
Yeo Seo-jeong,59,101,gymnastics
Mai Murakami,58,106,gymnastics
Linoy Ashram,65,110,gymnastics
Alina Harnasko,59,115,gymnastics
Katelyn Ohashi,58,106,gymnastics
Hitomi Hatakeda,61,101,gymnastics
Yuna Hiraiwa,59,92,gymnastics
Aiko Sugihara,60,98,gymnastics
Urara Ashikawa,56,79,gymnastics
Chisaki Oiwa,63,84,gymnastics
Sumire Kita,65,101,gymnastics
Sakura Noshitani,67,106,gymnastics
Sayuri Sugimoto,64,95,gymnastics
Ayuka Suzuki,65,103,gymnastics
Nanami Takenaka,64,97,gymnastics
Kiko Yokota,64,108,gymnastics
Ellie Black,61,126,gymnastics
Marine Boyer,64,115,gymnastics
Mélanie de Jesus dos Santos,60,84,gymnastics
Coline Devillard,57,86,gymnastics
Aline Friess,66,101,gymnastics
Becky Downie,61,117,gymnastics
Georgia-Mae Fenton,64,106,gymnastics
Claudia Fragapane,54,95,gymnastics
Kelly Simm,60,104,gymnastics
Kim Bui,61,108,gymnastics
Pauline Schäfer,64,121,gymnastics
Nicole James,55,227,rugby
Catherine Benson,68,210,rugby
Hope Rogers,66,195,rugby
Joanna Kitlinski,67,170,rugby
Jenny Kronish,74,195,rugby
Kristine Sommer,69,160,rugby
Hallie Taufo'ou,70,165,rugby
Jordan Matyas,72,195,rugby
Rachel Johnson,67,181,rugby
Elizabeth Cairns,67,160,rugby
Kathryn Johnson,70,152,rugby
Kate Zackary,68,174,rugby
Gabby Cantorna,66,161,rugby
Alev Kelter,66,165,rugby
Amy Bonté,67,155,rugby
Tess Feury,65,146,rugby
Meya Bizer,68,159,rugby
Olivia Apps,65,154,rugby
Pamphinette Buisa,70,165,rugby
Emma Chown,66,159,rugby
Bianca Farella,68,163,rugby
Breanne Nicholas,61,134,rugby
Karen Paquin,68,150,rugby
Keyara Wardley,65,150,rugby
Autumn-Rain Stephens-Daly,65,152,rugby
Madison Bartlett,66,148,rugby
Katelyn Vaha'akolo,64,159,rugby
Raecene McGregor,64,157,rugby
Annetta Nu'uausala,69,231,rugby
Krystal Rota,68,170,rugby
Roxette Murdoch,67,190,rugby
Ngatokotoru Arakua,65,205,rugby
Georgia Hale,65,154,rugby
Nita Maynard,62,132,rugby
Charlotte Scanlan,68,179,rugby
Corban Baxter,68,157,rugby
Tiana Penitani,67,154,rugby
Jessica Sergis,68,159,rugby
Isabelle Kelly,67,165,rugby
Shakiah Tungai,65,152,rugby
Kirra Dibb,71,170,rugby
Ali Brigginshaw,69,146,rugby
Simaima Taufa,60,167,rugby
Keeley Davis,64,150,rugby
Millie Boyle,71,183,rugby
Kezie Apps,72,181,rugby
Annette Brander,65,172,rugby
Hannah Southwell,68,165,rugby
Botille Vette-Welsh,68,148,rugby
